beta	population	links	attackRate	error
2	222177	900	2550.25	89.0805
2	310149	1351	2289.54	42.8733
2	379042	1801	2139.67	22.3679
2	414054	2251	2142.92	34.3964
2	467456	2702	2120	27.1463
2	498911	3152	2110.79	32.8916
2	572728	3602	2075.83	24.6503
2	641643	4053	2093.04	25.7118
2	697607	4503	2082.75	21.5507
2	775786	4954	2072.71	24.6536
2	840964	5404	2103.58	26.349
2	899757	5854	2129.46	31.1677
2	938853	6305	2138.54	34.7084
2	976286	6755	2156.75	34.9162
2	1.03053e+06	7205	2170.71	32.5182
2	1.08826e+06	7656	2208.21	47.8372
2	1.14687e+06	8106	2302.42	71.8839
2	1.19607e+06	8556	2323.54	70.1235
2	1.26112e+06	9007	2341.88	63.5089
2	1.29805e+06	9457	2479.17	100.317
2	1.33142e+06	9908	2476.38	74.1468
2	1.40341e+06	10358	2790.58	184.758
2	1.43229e+06	10808	2651.83	117.776
2	1.47713e+06	11259	2859.17	166.382
2	1.51409e+06	11709	3040.38	216.227
2	1.5496e+06	12159	3582.04	354.39
2	1.58975e+06	12610	4214.33	639.927
2	1.62116e+06	13060	4945.75	815.436
2	1.67586e+06	13510	6330.12	1023.56
2	1.7311e+06	13961	7364.92	1186.71
2	1.7585e+06	14411	11131.2	1658
2	1.78067e+06	14862	11174.1	1872.97
2	1.8199e+06	15312	13907.8	2169.64
2.25	222177	900	5662.96	919.397
2.25	310149	1351	2616.88	68.4545
2.25	379042	1801	2279.62	26.1943
2.25	414054	2251	2276.29	40.4626
2.25	467456	2702	2194	30.2682
2.25	498911	3152	2206.58	35.5263
2.25	572728	3602	2178.46	27.2491
2.25	641643	4053	2146.96	34.5298
2.25	697607	4503	2162.42	35.54
2.25	775786	4954	2171.79	29.9107
2.25	840964	5404	2203.83	33.6523
2.25	899757	5854	2258.88	49.6992
2.25	938853	6305	2261.67	43.7943
2.25	976286	6755	2285.54	46.1132
2.25	1.03053e+06	7205	2363.88	50.8957
2.25	1.08826e+06	7656	2463.21	57.8066
2.25	1.14687e+06	8106	2734.12	131.79
2.25	1.19607e+06	8556	2923.46	206.833
2.25	1.26112e+06	9007	2982.67	177.089
2.25	1.29805e+06	9457	3314.67	309.911
2.25	1.33142e+06	9908	4510.5	525.17
2.25	1.40341e+06	10358	5832.12	835.645
2.25	1.43229e+06	10808	8687.88	1362.5
2.25	1.47713e+06	11259	12153.2	1468.17
2.25	1.51409e+06	11709	16846.4	2095.35
2.25	1.5496e+06	12159	21145.9	1986.96
2.25	1.58975e+06	12610	24812.3	2153.33
2.25	1.62116e+06	13060	28927.8	1551.98
2.25	1.67586e+06	13510	33583	1828.91
2.25	1.7311e+06	13961	40629	1251.75
2.25	1.7585e+06	14411	41608.4	1207.19
2.25	1.78067e+06	14862	43834	1353.91
2.25	1.8199e+06	15312	46528.2	753.552
2.5	222177	900	28448.4	2167.96
2.5	310149	1351	3425.38	285.599
2.5	379042	1801	2436.17	44.6186
2.5	414054	2251	2393	45.6595
2.5	467456	2702	2350.38	32.0429
2.5	498911	3152	2328.17	31.9215
2.5	572728	3602	2307.67	40.5781
2.5	641643	4053	2266.33	39.1671
2.5	697607	4503	2273.79	32.4629
2.5	775786	4954	2279.08	27.0358
2.5	840964	5404	2385	58.4136
2.5	899757	5854	2432.62	52.7639
2.5	938853	6305	2482.25	51.96
2.5	976286	6755	2651	105.673
2.5	1.03053e+06	7205	2639.92	112.698
2.5	1.08826e+06	7656	3141.96	228.775
