beta	population	links	attackRate	error
4	1.62116e+06	13060	179419	910.145
4	1.67586e+06	13510	185755	839.562
4	1.7311e+06	13961	192351	824.489
4	1.7585e+06	14411	194860	948.96
4	1.78067e+06	14862	198406	821.174
4	1.8199e+06	15312	201417	698.975
4.25	222177	900	294914	601.791
4.25	310149	1351	233487	1045.54
4.25	379042	1801	131583	2310.64
4.25	414054	2251	98276.1	2878.8
4.25	467456	2702	53321.1	2839
4.25	498911	3152	33481.5	2805.82
4.25	572728	3602	6878.17	889.809
4.25	641643	4053	4955.67	476.156
4.25	697607	4503	5814.92	467.318
4.25	775786	4954	30986.6	1515.12
4.25	840964	5404	54509.7	703.291
4.25	899757	5854	69379.9	724.035
4.25	938853	6305	79573.2	835.351
4.25	976286	6755	90052.2	854.347
4.25	1.03053e+06	7205	104105	918.78
4.25	1.08826e+06	7656	118415	759.669
4.25	1.14687e+06	8106	129705	604.387
4.25	1.19607e+06	8556	138949	530.155
4.25	1.26112e+06	9007	149444	579.305
4.25	1.29805e+06	9457	155457	659.473
4.25	1.33142e+06	9908	159860	580.292
4.25	1.40341e+06	10358	170572	817.441
4.25	1.43229e+06	10808	175154	844.566
4.25	1.47713e+06	11259	181380	772.038
4.25	1.51409e+06	11709	187108	904.309
4.25	1.5496e+06	12159	190956	870.409
4.25	1.58975e+06	12610	197148	719.307
4.25	1.62116e+06	13060	201597	560.483
4.25	1.67586e+06	13510	208029	798.394
4.25	1.7311e+06	13961	215730	679.842
4.25	1.7585e+06	14411	219081	592.294
4.25	1.78067e+06	14862	221347	789.284
4.25	1.8199e+06	15312	224589	647.767
4.5	222177	900	336432	641.29
4.5	310149	1351	278270	856.656
4.5	379042	1801	186424	1508.09
4.5	414054	2251	154749	1902.43
4.5	467456	2702	96831.3	2403.21
4.5	498911	3152	67024.3	2548.31
4.5	572728	3602	13718.2	1943.04
4.5	641643	4053	9431.62	1269.45
4.5	697607	4503	11614	1301.26
4.5	775786	4954	47113.5	855.366
4.5	840964	5404	67870.3	610.039
4.5	899757	5854	84198.3	1041.35
4.5	938853	6305	97628.5	1030.82
4.5	976286	6755	108736	873.007
4.5	1.03053e+06	7205	122381	748.633
4.5	1.08826e+06	7656	136168	633.745
4.5	1.14687e+06	8106	146934	639.371
4.5	1.19607e+06	8556	155191	747.232
4.5	1.26112e+06	9007	166614	544.788
4.5	1.29805e+06	9457	173145	953.675
4.5	1.33142e+06	9908	179232	1029.7
4.5	1.40341e+06	10358	191400	815.832
4.5	1.43229e+06	10808	196623	788.512
4.5	1.47713e+06	11259	204585	882.831
4.5	1.51409e+06	11709	209403	825.3
4.5	1.5496e+06	12159	213830	826.477
4.5	1.58975e+06	12610	220803	955.557
4.5	1.62116e+06	13060	225513	771.68
4.5	1.67586e+06	13510	232472	596.564
4.5	1.7311e+06	13961	238815	780.925
4.5	1.7585e+06	14411	242154	784.609
4.5	1.78067e+06	14862	244343	706.474
4.5	1.8199e+06	15312	248898	700.453
4.75	222177	900	374195	701.769
4.75	310149	1351	319701	806.047
4.75	379042	1801	237147	1080.5
4.75	414054	2251	204241	1345.43
4.75	467456	2702	150225	1737.59
4.75	498911	3152	114877	2261.5
4.75	572728	3602	36383.2	2497.01
4.75	641643	4053	24836.1	3139.13
4.75	697607	4503	31601.1	3134.43
4.75	775786	4954	61547	1036.99
4.75	840964	5404	83915.3	913.851
4.75	899757	5854	103163	918.716
4.75	938853	6305	115672	1144.05
4.75	976286	6755	126892	1113.28
4.75	1.03053e+06	7205	141452	724.668
4.75	1.08826e+06	7656	154982	776.803
4.75	1.14687e+06	8106	164546	777.938
4.75	1.19607e+06	8556	174194	872.125
4.75	1.26112e+06	9007	187449	1009.81
4.75	1.29805e+06	9457	194836	1098.01
4.75	1.33142e+06	9908	201453	1051.56
4.75	1.40341e+06	10358	214970	1058.69
4.75	1.43229e+06	10808	221209	779.045
4.75	1.47713e+06	11259	228553	1003.88
4.75	1.51409e+06	11709	233157	865.191
4.75	1.5496e+06	12159	237536	694.729
4.75	1.58975e+06	12610	245134	806.35
4.75	1.62116e+06	13060	248751	579.586
4.75	1.67586e+06	13510	255600	876.091
4.75	1.7311e+06	13961	261960	649.697
4.75	1.7585e+06	14411	266026	748.177
4.75	1.78067e+06	14862	268113	730.9
4.75	1.8199e+06	15312	272149	811.354
5	222177	900	409937	688.221
5	310149	1351	357429	831.789
5	379042	1801	278834	903.892
5	414054	2251	250194	1145.43
5	467456	2702	200737	1418.66
5	498911	3152	164443	1263.83
5	572728	3602	67721.8	2824.09
5	641643	4053	53542.3	3287.3
5	697607	4503	62885.4	1714.32
5	775786	4954	79452.2	1359.41
5	840964	5404	102688	1255.06
5	899757	5854	124720	1130.25
5	938853	6305	137333	1338.16
5	976286	6755	148937	1398.81
5	1.03053e+06	7205	162985	1156.86
5	1.08826e+06	7656	178919	1045.85
5	1.14687e+06	8106	187842	1300.19
5	1.19607e+06	8556	196953	1223.76
5	1.26112e+06	9007	214096	1044.44
5	1.29805e+06	9457	219427	860.712
5	1.33142e+06	9908	226614	1145.12
5	1.40341e+06	10358	241082	1179.42
5	1.43229e+06	10808	248054	1023.55
5	1.47713e+06	11259	256115	875.814
5	1.51409e+06	11709	260330	843.274
5	1.5496e+06	12159	262565	1047.15
5	1.58975e+06	12610	270580	996.242
5	1.62116e+06	13060	273897	763.453
5	1.67586e+06	13510	281322	790.549
5	1.7311e+06	13961	286940	1108.65
5	1.7585e+06	14411	290345	911.872
5	1.78067e+06	14862	293183	740.251
5	1.8199e+06	15312	296411	649.098
