beta	population	links	attackRate	error
2	227777	428	901.917	18.8041
2	293962	642	914.458	16.3356
2	320204	856	903.333	14.2107
2	402023	1070	896.458	14.8521
2	465950	1284	916.917	21.3853
2	507084	1499	904.833	20.0638
2	557901	1713	913.792	19.7905
2	603725	1927	912.458	17.8327
2	650583	2141	916.417	20.0438
2	688611	2355	925.583	13.0257
2	766163	2569	964.75	17.5456
2	846916	2783	993.958	28.2558
2	890901	2998	982.083	21.5896
2	940105	3212	1005.21	27.5109
2	994632	3426	1032.75	42.1968
2	1.05384e+06	3640	1065.88	42.9485
2	1.1196e+06	3854	1146.62	60.2098
2	1.16856e+06	4068	1189.04	69.0992
2	1.24958e+06	4282	1288.25	109.329
2	1.32232e+06	4497	1672.67	174.401
2	1.35854e+06	4711	1638.29	158.991
2	1.42464e+06	4925	2164.5	316.702
2	1.4743e+06	5139	2334.54	388.911
2	1.50976e+06	5353	3103.96	517.579
2	1.53881e+06	5567	3041.29	614.613
2	1.56119e+06	5781	4864.21	916.162
2	1.59147e+06	5996	4988.5	1197.45
2	1.62367e+06	6210	6340	1259.26
2	1.70295e+06	6424	13170.9	1238.48
2	1.73222e+06	6638	14754.4	1933.43
2	1.74288e+06	6852	17053.5	1208.78
2	1.75661e+06	7066	19618.2	1276.74
2	1.77198e+06	7281	18931.2	2184.39
2.25	227777	428	944.417	17.2215
2.25	293962	642	928.167	17.4071
2.25	320204	856	940.792	19.0347
2.25	402023	1070	946.167	15.9618
2.25	465950	1284	924.25	15.6054
2.25	507084	1499	935.083	16.3441
2.25	557901	1713	945.417	19.8452
2.25	603725	1927	945.042	17.9045
2.25	650583	2141	962.125	25.9258
2.25	688611	2355	983.875	21.3463
2.25	766163	2569	999.458	29.8827
2.25	846916	2783	1042.62	31.3903
2.25	890901	2998	1080.5	34.5249
2.25	940105	3212	1135.04	51.1901
2.25	994632	3426	1230.92	54.8892
2.25	1.05384e+06	3640	1273.67	106.405
2.25	1.1196e+06	3854	1439.96	114.804
2.25	1.16856e+06	4068	1816.21	176.611
2.25	1.24958e+06	4282	2179.79	416.824
2.25	1.32232e+06	4497	4463.88	763.957
2.25	1.35854e+06	4711	7552.21	1409.06
2.25	1.42464e+06	4925	13940.2	1458.9
2.25	1.4743e+06	5139	20004	1733.23
2.25	1.50976e+06	5353	24172.8	1553.03
2.25	1.53881e+06	5567	29224.2	703.633
2.25	1.56119e+06	5781	29897.7	2477.46
2.25	1.59147e+06	5996	34046.7	655.8
2.25	1.62367e+06	6210	36725.6	691.378
2.25	1.70295e+06	6424	42602	648.036
2.25	1.73222e+06	6638	44818.8	641.429
2.25	1.74288e+06	6852	45182.3	609.959
2.25	1.75661e+06	7066	46042.9	458.373
2.25	1.77198e+06	7281	46838.1	612.994
2.5	227777	428	978.125	20.4437
2.5	293962	642	955.958	20.8519
2.5	320204	856	958.5	17.6837
2.5	402023	1070	959.625	19.4477
2.5	465950	1284	968.958	20.4944
2.5	507084	1499	985.542	17.2498
2.5	557901	1713	991.625	21.0414
2.5	603725	1927	1000.04	20.1855
2.5	650583	2141	1028.29	17.1898
2.5	688611	2355	1038.71	15.9338
2.5	766163	2569	1061.25	29.7946
2.5	846916	2783	1171.29	47.7974
2.5	890901	2998	1223.62	64.1803
2.5	940105	3212	1306.62	80.7137
2.5	994632	3426	1567.5	140.044
2.5	1.05384e+06	3640	2126.96	333.667
2.5	1.1196e+06	3854	3708.67	863.384
2.5	1.16856e+06	4068	6566.25	1511.47
2.5	1.24958e+06	4282	17062.5	1568.6
2.5	1.32232e+06	4497	29685.8	1001.21
2.5	1.35854e+06	4711	32966.9	906.679
2.5	1.42464e+06	4925	41086.4	554.365
