beta	population	links	attackRate	error
3	227777	428	1062.12	21.9193
3	293962	642	1045.25	22.2773
3	320204	856	1059.46	18.7882
3	402023	1070	1039.17	18.2583
3	465950	1284	1052.62	26.4439
3	507084	1499	1093.83	35.0853
3	557901	1713	1095.42	20.6067
3	603725	1927	1093.83	24.5833
3	650583	2141	1121.17	32.2973
3	688611	2355	1160.25	40.4371
3	766163	2569	1260.62	68.0626
3	846916	2783	1703.67	138.547
3	890901	2998	2323.46	431.747
3	940105	3212	4107.96	805.975
3	994632	3426	16285.9	1354.63
3	1.05384e+06	3640	29687.1	669.455
3	1.1196e+06	3854	40878	567.466
3	1.16856e+06	4068	47787.5	646.149
3	1.24958e+06	4282	58058.7	421.129
3	1.32232e+06	4497	65391.9	504.208
3	1.35854e+06	4711	68721.5	458.022
3	1.42464e+06	4925	74049.6	384.17
3	1.4743e+06	5139	77641.7	325.576
3	1.50976e+06	5353	79927.8	272.035
3	1.53881e+06	5567	81564.2	287.425
3	1.56119e+06	5781	83000.3	311.35
3	1.59147e+06	5996	84344.2	264.874
3	1.62367e+06	6210	86159.2	261.05
3	1.70295e+06	6424	90170.7	281.363
3	1.73222e+06	6638	91251.4	193.283
3	1.74288e+06	6852	91875.8	224.839
3	1.75661e+06	7066	92231.6	224.952
3	1.77198e+06	7281	93099.1	304.117
3.25	227777	428	1146.83	35.7833
3.25	293962	642	1100.79	38.697
3.25	320204	856	1089.08	27.9035
3.25	402023	1070	1095.5	23.5141
3.25	465950	1284	1114.46	22.5286
3.25	507084	1499	1108.38	30.0726
3.25	557901	1713	1149.79	26.1874
3.25	603725	1927	1159.33	30.8261
3.25	650583	2141	1194.46	34.7837
3.25	688611	2355	1317.46	71.2554
3.25	766163	2569	1546.29	135.531
3.25	846916	2783	3645.21	705.403
3.25	890901	2998	7424.92	1561.13
3.25	940105	3212	23349.8	1234.94
3.25	994632	3426	35152.5	662.432
3.25	1.05384e+06	3640	46896.5	543.147
3.25	1.1196e+06	3854	56429.8	514.749
3.25	1.16856e+06	4068	63081.2	611.036
3.25	1.24958e+06	4282	71327.5	438.144
3.25	1.32232e+06	4497	78109	305.136
3.25	1.35854e+06	4711	80880.2	271.08
3.25	1.42464e+06	4925	85548	297.914
3.25	1.4743e+06	5139	88773.9	292.366
3.25	1.50976e+06	5353	90723.9	338.323
3.25	1.53881e+06	5567	92586.2	165.425
3.25	1.56119e+06	5781	93353.9	199.215
3.25	1.59147e+06	5996	94941.1	170.877
3.25	1.62367e+06	6210	96695.8	279.593
3.25	1.70295e+06	6424	100036	233.469
3.25	1.73222e+06	6638	100984	245.467
3.25	1.74288e+06	6852	101481	221.981
3.25	1.75661e+06	7066	101925	268.49
3.25	1.77198e+06	7281	102520	262.815
3.5	227777	428	1286.08	82.3652
3.5	293962	642	1164.71	43.159
3.5	320204	856	1169.54	26.6087
3.5	402023	1070	1152.33	27.446
3.5	465950	1284	1171.67	35.9821
3.5	507084	1499	1221.62	34.0601
3.5	557901	1713	1202.79	37.6877
3.5	603725	1927	1282.42	37.17
3.5	650583	2141	1386.29	85.6198
3.5	688611	2355	1435.5	71.897
3.5	766163	2569	2348.17	234.365
3.5	846916	2783	14227.5	1649.68
3.5	890901	2998	28100.3	1179.36
3.5	940105	3212	39079.6	799.439
3.5	994632	3426	50843.9	544.779
3.5	1.05384e+06	3640	59854.6	465.518
3.5	1.1196e+06	3854	69224.3	355.558
3.5	1.16856e+06	4068	75037.5	275.069
3.5	1.24958e+06	4282	82753.2	304.431
3.5	1.32232e+06	4497	88896.3	383.33
3.5	1.35854e+06	4711	91321.8	255.779
3.5	1.42464e+06	4925	95370	280.391
3.5	1.4743e+06	5139	98084.9	251.578
3.5	1.50976e+06	5353	99981.3	274.431
3.5	1.53881e+06	5567	101312	233.792
3.5	1.56119e+06	5781	102355	234.811
3.5	1.59147e+06	5996	103717	251.203
3.5	1.62367e+06	6210	104941	232.762
3.5	1.70295e+06	6424	108037	206.293
3.5	1.73222e+06	6638	109033	222.769
3.5	1.74288e+06	6852	109387	224.913
3.5	1.75661e+06	7066	110084	225.678
3.5	1.77198e+06	7281	110418	170.101
3.75	227777	428	1470.33	130.349
3.75	293962	642	1268.21	54.2254
3.75	320204	856	1201.25	31.5891
3.75	402023	1070	1200.79	29.3588
3.75	465950	1284	1218.46	26.2485
3.75	507084	1499	1250.04	30.5906
3.75	557901	1713	1290.92	26.5115
3.75	603725	1927	1345.25	45.126
3.75	650583	2141	1593.54	84.5789
3.75	688611	2355	1766.88	160.867
3.75	766163	2569	5957.29	936.263
3.75	846916	2783	30532.8	898.951
3.75	890901	2998	42364.5	603
3.75	940105	3212	53410.2	492.973
3.75	994632	3426	63077.8	438.415
3.75	1.05384e+06	3640	71808.3	339.592
3.75	1.1196e+06	3854	80372.2	315.889
3.75	1.16856e+06	4068	85143.4	437.947
3.75	1.24958e+06	4282	92046.4	245.795
3.75	1.32232e+06	4497	97378.8	323.189
3.75	1.35854e+06	4711	99661.3	246.046
3.75	1.42464e+06	4925	103544	140.4
3.75	1.4743e+06	5139	105932	201.828
3.75	1.50976e+06	5353	107578	174.028
3.75	1.53881e+06	5567	108850	227.396
3.75	1.56119e+06	5781	109861	179.723
3.75	1.59147e+06	5996	111045	190.615
3.75	1.62367e+06	6210	112030	186.08
3.75	1.70295e+06	6424	115080	200.655
3.75	1.73222e+06	6638	115908	232.016
3.75	1.74288e+06	6852	116101	141.029
3.75	1.75661e+06	7066	116730	171.11
3.75	1.77198e+06	7281	116903	185.658
4	227777	428	2344.33	416.9
4	293962	642	1323.58	60.3165
4	320204	856	1357.67	52.9147
4	402023	1070	1277.12	37.6933
4	465950	1284	1320.54	37.5614
4	507084	1499	1322.17	35.2009
4	557901	1713	1381.38	42.1454
4	603725	1927	1487.33	61.6285
4	650583	2141	1850.88	122.943
4	688611	2355	2347.42	342.816
4	766163	2569	19919.2	1844.02
4	846916	2783	44443.8	587.301
4	890901	2998	55341.3	421.048
4	940105	3212	64981.3	348.651
4	994632	3426	73904.3	416.193
4	1.05384e+06	3640	81811.2	357.767
4	1.1196e+06	3854	88909.2	292.688
4	1.16856e+06	4068	93948.5	244.565
4	1.24958e+06	4282	100067	285.167
4	1.32232e+06	4497	104879	260.922
4	1.35854e+06	4711	106889	193.296
4	1.42464e+06	4925	110421	177.96
4	1.4743e+06	5139	112565	168.564
4	1.50976e+06	5353	114093	179.563
4	1.53881e+06	5567	115392	146.692
4	1.56119e+06	5781	116187	180.428
4	1.59147e+06	5996	117270	174.088
4	1.62367e+06	6210	118352	175.432
4	1.70295e+06	6424	120973	114.996
4	1.73222e+06	6638	121806	171.908
